ID,Final,Attend,Year,Semester,Class,Platform
20396952,0.874571429,0.888888889,2016,Fall,101,LaunchPad
20389707,0.719380952,0.888888889,2016,Fall,101,LaunchPad
20370753,0.180539683,0.722222222,2016,Fall,101,LaunchPad
20397795,0.847142857,0.916666667,2016,Fall,101,LaunchPad
20398108,0.728380952,0.861111111,2016,Fall,101,LaunchPad
20402671,0.49052381,0.944444444,2016,Fall,101,LaunchPad
916611506,0.741333333,0.975,2016,Fall,101,LaunchPad
916710358,0.75,0.825,2016,Fall,101,LaunchPad
917073136,0.781333333,1,2016,Fall,101,LaunchPad
916848665,0.607333333,0.95,2016,Fall,101,LaunchPad
915912899,0.68,0.525,2016,Fall,101,LaunchPad
917036489,0.836444444,0.975,2016,Fall,101,LaunchPad
917041728,0.815333333,0.975,2016,Fall,101,LaunchPad
916013974,0.394444444,0.3,2016,Fall,101,LaunchPad
916719692,0.249555556,0.85,2016,Fall,101,LaunchPad
913650691,0.727555556,0.625,2016,Fall,101,LaunchPad
915224120,0.634,0.925,2016,Fall,101,LaunchPad
916619748,0.788333333,1,2016,Fall,101,LaunchPad
916657760,0.709666667,1,2016,Fall,101,LaunchPad
915362596,0.614777778,0.825,2016,Fall,101,LaunchPad
916301365,0.645333333,0.875,2016,Fall,101,LaunchPad
916600781,0.532,0.975,2016,Fall,101,LaunchPad
916983891,0.826333333,0.9,2016,Fall,101,LaunchPad
917038920,0.81,1,2016,Fall,101,LaunchPad
917009930,0.419333333,0.95,2016,Fall,101,LaunchPad
916712295,0.755666667,1,2016,Fall,101,LaunchPad
916653665,0.615888889,0.7,2016,Fall,101,LaunchPad
915062387,0.695666667,0.775,2016,Fall,101,LaunchPad
916951950,0.319333333,0.675,2016,Fall,101,LaunchPad
916753388,0.922333333,0.85,2016,Fall,101,LaunchPad
916977898,0.68,0.95,2016,Fall,101,LaunchPad
917084992,0.621888889,1,2016,Fall,101,LaunchPad
915559806,0.752666667,0.975,2016,Fall,101,LaunchPad
916690611,0.676666667,0.85,2016,Fall,101,LaunchPad
916295437,0.522666667,0.625,2016,Fall,101,LaunchPad
916684462,0.632333333,1,2016,Fall,101,LaunchPad
915871897,0.340444444,0.45,2016,Fall,101,LaunchPad
917160392,0.682666667,0.95,2016,Fall,101,LaunchPad
916197040,0.946,0.95,2016,Fall,101,LaunchPad
916625429,0.680666667,1,2016,Fall,101,LaunchPad
916234168,0.353333333,0.625,2016,Fall,101,LaunchPad
916996358,0.870333333,0.95,2016,Fall,101,LaunchPad
917200432,0.775666667,0.975,2016,Fall,101,LaunchPad
917160197,0.411111111,0.8,2016,Fall,101,LaunchPad
917167126,0.267777778,0.125,2016,Fall,101,LaunchPad
916817179,0.461333333,0.775,2016,Fall,101,LaunchPad
915937599,0.962666667,1,2016,Fall,101,LaunchPad
916598766,0.691444444,0.975,2016,Fall,101,LaunchPad
916174043,0.698666667,0.825,2016,Fall,101,LaunchPad
917131909,0.711777778,0.775,2016,Fall,101,LaunchPad
916365143,0.543777778,0.775,2016,Fall,101,LaunchPad
916663233,0.773666667,0.9,2016,Fall,101,LaunchPad
913782238,0.884666667,0.875,2016,Fall,101,LaunchPad
912780692,0.644222222,0.425,2016,Fall,101,LaunchPad
917063646,0.479111111,1,2016,Fall,101,LaunchPad
917218853,0.617333333,0.9,2016,Fall,101,LaunchPad
916566747,0.824,1,2016,Fall,101,LaunchPad
916209091,0.734666667,0.925,2016,Fall,101,LaunchPad
916566695,0.834,1,2016,Fall,101,LaunchPad
916910805,0.69,1,2016,Fall,101,LaunchPad
917179970,0.753,0.9,2016,Fall,101,LaunchPad
915616954,0.78,1,2016,Fall,101,LaunchPad
917017522,0.850666667,0.925,2016,Fall,101,LaunchPad
917216643,1,1,2016,Fall,101,LaunchPad
916779674,0.544222222,1,2016,Fall,101,LaunchPad
915840931,0.584666667,0.9,2016,Fall,101,LaunchPad
916892254,0.612666667,0.975,2016,Fall,101,LaunchPad
916011101,0.784333333,1,2016,Fall,101,LaunchPad
916885130,0.600333333,1,2016,Fall,101,LaunchPad
916735617,0.68,1,2016,Fall,101,LaunchPad
917079870,0.68,0.925,2016,Fall,101,LaunchPad
916820754,0.716666667,0.95,2016,Fall,101,LaunchPad
916734213,0.681666667,0.925,2016,Fall,101,LaunchPad
916977729,0.896,1,2016,Fall,101,LaunchPad
916972945,0.727888889,0.925,2016,Fall,101,LaunchPad
916040065,0.420777778,0.925,2016,Fall,101,LaunchPad
917220127,0.811666667,1,2016,Fall,101,LaunchPad
916811342,0.553111111,0.9,2016,Fall,101,LaunchPad
912349859,0.68,0.925,2016,Fall,101,LaunchPad
915479544,0.805333333,0.85,2016,Fall,101,LaunchPad
916492595,0.320444444,0.575,2016,Fall,101,LaunchPad
912437037,0.870333333,1,2016,Fall,101,LaunchPad
916514123,0.68,0.9,2016,Fall,101,LaunchPad
916727453,0.859,0.975,2016,Fall,101,LaunchPad
915160784,0.248888889,0.375,2016,Fall,101,LaunchPad
917112370,0.915333333,0.975,2016,Fall,101,LaunchPad
916607086,0.704888889,0.725,2016,Fall,101,LaunchPad
917071498,0.68,0.975,2016,Fall,101,LaunchPad
916549288,0.542333333,0.725,2016,Fall,101,LaunchPad
916965496,0.733666667,0.85,2016,Fall,101,LaunchPad
916854398,0.761444444,1,2016,Fall,101,LaunchPad
916871233,0.754,0.775,2016,Fall,101,LaunchPad
917015507,0.515111111,0.95,2016,Fall,101,LaunchPad
