id,Final,Attend,Year,Semester,Class,Platform
65026,0.821109385,1.0,2016,Spring,101,Aplia
46404,0.845300385,0.833333333,2016,Spring,101,Aplia
36036,0.707021846,0.75,2016,Spring,101,Aplia
67021,0.8344930770000001,0.666666667,2016,Spring,101,Aplia
65595,0.8075320770000001,0.75,2016,Spring,101,Sapling
57554,0.753303077,0.53125,2016,Spring,101,Sapling
55327,0.801051231,0.75,2016,Spring,101,Sapling
87959,0.861613462,0.96875,2016,Spring,101,Sapling
24114,0.908959692,0.53125,2016,Spring,101,Sapling
74674,0.7150442309999999,1.0,2016,Spring,101,Sapling
52240,0.5894560000000001,0.5625,2016,Spring,101,Sapling
49852,0.628400846,0.15625,2016,Spring,101,Sapling
62302,0.785569231,0.8125,2016,Spring,101,Sapling
18684,0.748881692,0.96875,2016,Spring,101,Sapling
60999,0.7267537690000001,0.8125,2016,Spring,101,Sapling
69948,0.808749462,0.6875,2016,Spring,101,Sapling
59727,0.6789362309999999,0.90625,2016,Spring,101,Sapling
22840,0.7052022309999999,0.875,2016,Spring,101,Sapling
25156,0.726327462,0.9375,2016,Spring,101,Sapling
65504,0.6909,0.90625,2016,Spring,101,Sapling
50819,0.7276301540000001,0.9375,2016,Spring,101,Sapling
57437,0.501413308,0.1875,2016,Spring,101,Sapling
63559,0.9312892309999999,0.96875,2016,Spring,101,Sapling
70694,0.766600308,0.46875,2016,Spring,101,Sapling
54590,0.75541,0.9375,2016,Spring,101,Sapling
63204,0.749963846,0.5,2016,Spring,101,Sapling
68609,0.696111154,0.625,2016,Spring,101,Sapling
72416,0.504754,0.4375,2016,Spring,101,Sapling
88248,0.8288832309999999,0.96875,2016,Spring,101,Sapling
59434,0.739866615,0.8125,2016,Spring,101,Sapling
67230,0.768714769,0.9375,2016,Spring,101,Sapling
64508,0.790441231,0.96875,2016,Spring,101,Sapling
51254,0.8657732309999999,1.0,2016,Spring,101,Sapling
64131,0.9506029229999999,0.9375,2016,Spring,101,Sapling
47632,0.922695,0.5625,2016,Spring,101,Sapling
64772,0.808495462,0.96875,2016,Spring,101,Sapling
18943,0.801761615,0.46875,2016,Spring,101,Sapling
59118,0.693004308,0.84375,2016,Spring,101,Sapling
60400,0.7784064620000001,0.90625,2016,Spring,101,Sapling
77939,0.943881231,0.875,2016,Spring,101,Sapling
48725,0.8861635379999999,0.96875,2016,Spring,101,Sapling
67436,0.8912,1.0,2016,Spring,101,Sapling
51747,0.859641385,0.96875,2016,Spring,101,Sapling
62710,0.7509498459999999,0.90625,2016,Spring,101,Sapling
61082,0.777045455,0.947368421,2016,Spring,102,LaunchPad
22634,0.084,0.342105263,2016,Spring,102,LaunchPad
78299,0.7539090909999999,1.0,2016,Spring,102,LaunchPad
28534,0.2635,0.5,2016,Spring,102,LaunchPad
67523,0.3565,0.7894736840000001,2016,Spring,102,LaunchPad
41402,0.601045455,0.894736842,2016,Spring,102,LaunchPad
97273,0.888409091,0.8684210529999999,2016,Spring,102,LaunchPad
27301,0.647454545,0.921052632,2016,Spring,102,LaunchPad
83106,0.741409091,0.894736842,2016,Spring,102,LaunchPad
33341,0.816045455,0.947368421,2016,Spring,102,LaunchPad
79037,0.5637272729999999,0.9736842109999999,2016,Spring,102,LaunchPad
65690,0.7461818179999999,0.947368421,2016,Spring,102,LaunchPad
77905,0.799863636,1.0,2016,Spring,102,LaunchPad
67812,0.770727273,0.9736842109999999,2016,Spring,102,LaunchPad
47068,0.741454545,0.921052632,2016,Spring,102,LaunchPad
37353,0.8923636359999999,0.894736842,2016,Spring,102,LaunchPad
79822,0.789,0.894736842,2016,Spring,102,LaunchPad
42793,0.764,0.947368421,2016,Spring,102,LaunchPad
09831,0.791545455,0.9736842109999999,2016,Spring,102,LaunchPad
77552,0.34831818200000003,0.842105263,2016,Spring,102,LaunchPad
77036,0.834545455,0.947368421,2016,Spring,102,LaunchPad
64114,0.695545455,0.894736842,2016,Spring,102,LaunchPad
97773,0.850545455,0.8684210529999999,2016,Spring,102,LaunchPad
64280,0.9896363640000001,1.0,2016,Spring,102,LaunchPad
83935,0.734727273,0.7894736840000001,2016,Spring,102,LaunchPad
74309,0.493,0.921052632,2016,Spring,102,LaunchPad
22029,0.693045455,0.36842105299999994,2016,Spring,102,LaunchPad
61426,0.772727273,0.9736842109999999,2016,Spring,102,LaunchPad
31998,0.779590909,0.921052632,2016,Spring,102,LaunchPad
76799,0.9926363640000001,0.9736842109999999,2016,Spring,102,LaunchPad
66624,0.44799999999999995,0.552631579,2016,Spring,102,LaunchPad
61673,0.384,0.552631579,2016,Spring,102,LaunchPad
20683,0.69,0.605263158,2016,Spring,102,LaunchPad
43766,0.559454545,0.894736842,2016,Spring,102,LaunchPad
67062,0.7875909090000001,1.0,2016,Spring,102,LaunchPad
11188,0.811045455,0.815789474,2016,Spring,102,LaunchPad
86265,0.8306363640000001,0.736842105,2016,Spring,102,LaunchPad
64197,0.747454545,0.736842105,2016,Spring,102,LaunchPad
52334,0.633636364,0.842105263,2016,Spring,102,LaunchPad
18949,0.663636364,0.9736842109999999,2016,Spring,102,LaunchPad
58572,0.0,0.078947368,2016,Spring,102,LaunchPad
62873,0.763636364,0.947368421,2016,Spring,102,LaunchPad
97222,0.4625,0.921052632,2016,Spring,102,LaunchPad
90801,0.8161363640000001,1.0,2016,Spring,102,LaunchPad
76883,0.878181818,0.842105263,2016,Spring,102,LaunchPad
21134,0.69,0.763157895,2016,Spring,102,LaunchPad
23449,0.733409091,0.7105263159999999,2016,Spring,102,LaunchPad
97773,0.417954545,0.894736842,2016,Spring,102,LaunchPad
50326,0.815,1.0,2016,Spring,102,LaunchPad
27232,0.701818182,0.9736842109999999,2016,Spring,102,LaunchPad
87074,0.400909091,0.736842105,2016,Spring,102,LaunchPad
56815,0.7438636359999999,1.0,2016,Spring,102,LaunchPad
48880,0.627727273,1.0,2016,Spring,102,LaunchPad
06908,0.549545455,0.894736842,2016,Spring,102,LaunchPad
00459,0.8597727270000001,1.0,2016,Spring,102,LaunchPad
29335,0.9040909090000001,0.815789474,2016,Spring,102,LaunchPad
11388,0.8990909090000001,1.0,2016,Spring,102,LaunchPad
96220,0.7136363640000001,0.8684210529999999,2016,Spring,102,LaunchPad
59020,0.7188636359999999,0.8684210529999999,2016,Spring,102,LaunchPad
55108,0.417045455,0.7105263159999999,2016,Spring,102,LaunchPad
39985,0.25,0.15789473699999998,2016,Spring,102,LaunchPad
06215,0.715454545,0.921052632,2016,Spring,102,LaunchPad
44587,0.715454545,0.8684210529999999,2016,Spring,102,LaunchPad
94745,0.9063636359999999,0.947368421,2016,Spring,102,LaunchPad
38537,0.7138636359999999,0.9736842109999999,2016,Spring,102,LaunchPad
08345,0.4125,0.552631579,2016,Spring,102,LaunchPad
90199,0.819545455,0.7894736840000001,2016,Spring,102,LaunchPad
04049,0.6915909090000001,0.7894736840000001,2016,Spring,102,LaunchPad
65837,0.497272727,0.6315789470000001,2016,Spring,102,LaunchPad
44061,0.700454545,0.921052632,2016,Spring,102,LaunchPad
24617,0.9075,0.947368421,2016,Spring,102,LaunchPad
11507,0.701818182,0.815789474,2016,Spring,102,LaunchPad
44141,0.9584090909999999,0.9736842109999999,2016,Spring,102,LaunchPad
13096,0.0725,0.21052631600000002,2016,Spring,102,LaunchPad
06839,0.626363636,1.0,2016,Spring,102,LaunchPad
21542,0.4425,0.184210526,2016,Spring,102,LaunchPad
54285,0.8186363640000001,0.921052632,2016,Spring,102,LaunchPad
13928,0.80875,0.815789474,2016,Spring,102,LaunchPad
82958,0.8138636359999999,1.0,2016,Spring,102,LaunchPad
80271,0.788181818,1.0,2016,Spring,102,LaunchPad
32201,0.0725,0.184210526,2016,Spring,102,LaunchPad
41018,0.605909091,0.684210526,2016,Spring,102,LaunchPad
14238,0.576590909,0.9736842109999999,2016,Spring,102,LaunchPad
14151,0.48,0.815789474,2016,Spring,102,LaunchPad
22027,0.33727272700000005,0.947368421,2016,Spring,102,LaunchPad
